period_begin,period_end,period_duration,region_type,region_type_id,table_id,is_seasonally_adjusted,region,city,state,state_code,property_type,property_type_id,median_sale_price,median_sale_price_mom,median_sale_price_yoy,median_list_price,median_list_price_mom,median_list_price_yoy,median_ppsf,median_ppsf_mom,median_ppsf_yoy,median_list_ppsf,median_list_ppsf_mom,median_list_ppsf_yoy,homes_sold,homes_sold_mom,homes_sold_yoy,pending_sales,pending_sales_mom,pending_sales_yoy,new_listings,new_listings_mom,new_listings_yoy,inventory,inventory_mom,inventory_yoy,months_of_supply,months_of_supply_mom,months_of_supply_yoy,median_dom,median_dom_mom,median_dom_yoy,avg_sale_to_list,avg_sale_to_list_mom,avg_sale_to_list_yoy,sold_above_list,sold_above_list_mom,sold_above_list_yoy,price_drops,price_drops_mom,price_drops_yoy,off_market_in_two_weeks,off_market_in_two_weeks_mom,off_market_in_two_weeks_yoy,parent_metro_region,parent_metro_region_metro_code,last_updated
2013-04-01,2013-04-30,30,national,11,1400,t, National,National,U.S.,US,Condo/Co-op,3,166383.846188513,0.0036963165439025,0.1255679996509557,183087.503059016,0.0410929768313987,0.1746946601882761,141.523290737257,0.0034170480306694,0.1098782731496028,155.840562706985,0.0308802731934287,0.1439757459481423,51336.008961196,-0.025302176117312,0.0840490211067654,58867.227357924,-0.0147202488426136,0.0759778043626209,62887.5416760857,0.0119459198354321,0.0838171573252308,210075.400690589,-0.0008012695674868,-0.1866847002429442,4.199819725568729,0.1645652575511098,-1.3457068408032198,64.9429490881183,0.0,-27.0,0.9709355107476088,-0.000770466697778,0.013834546406004,0.216395402503187,-0.0023413959061309,0.057708393022912,0.0475830328111749,-0.0032940785049431,-0.0147100707492612,0.199847681858965,0.0063004148522839,0.066197079947719,,,2024-08-14 00:00:00
2020-05-01,2020-05-31,30,national,11,1400,t, National,National,U.S.,US,All Residential,-1,292212.78570623,-0.0257802733778025,0.0050969462964234,320367.59010172,0.0408596740953408,0.0566369592539262,157.342882072556,-0.0132319213050648,0.0013673199922541,170.208602682169,0.0339684238619746,0.0494780083062937,383246.353334234,-0.1002023966572982,-0.2800650235100151,581712.224183174,0.4196448550183165,-0.0501394245243182,524534.915438605,0.1615188560400635,-0.2121002548410487,1267445.31236268,-0.0526594729664953,-0.2123135269259768,3.38725622863457,0.1141463401526303,0.35153125783477,45.595189018225696,6.0,1.0,0.97893001285083,-0.004756728341869,-0.0007310859753559,0.222577948645433,-0.0349775525184249,-0.0023195934151479,0.124549644041995,0.003605252391698,-0.0266758956859989,0.335409359857882,0.0251929790642709,-0.0091450055419139,,,2024-08-14 00:00:00
2014-02-01,2014-02-28,30,national,11,1400,t, National,National,U.S.,US,All Residential,-1,214879.24863143,0.0069218798544226,0.1025080169501273,225611.560423221,-0.0002182039202869,0.0948790139952315,115.486326979403,8.263186520851562e-05,0.1112199829615829,121.014544129761,-0.0066533070966363,0.0789123962832609,426029.083373081,0.0057334155355945,-0.025579364399071,489472.571692458,-0.0136543392175534,-0.053157920251512,556076.25291836,-0.0264936277759528,-0.0115744109139241,1892963.0070389097,0.008169239555501,0.0177610279155184,4.65900446628628,0.0771090589094205,0.2097900835052,63.7516674804716,1.0,-1.0,0.974549879532935,-0.0012194255760559,-0.0001378161438959,0.210970502427956,-0.0032841438285799,-0.0280974340905549,0.0782611575351803,0.0107489223393309,0.0205878008016021,0.181233184994401,-0.000999044137658,0.0004519522266309,,,2024-08-14 00:00:00
2015-09-01,2015-09-30,30,national,11,1400,t, National,National,U.S.,US,Condo/Co-op,3,202534.784678054,-0.0209602082986651,0.0688453658658152,216913.771414229,0.0071532228503548,0.0872327573093958,172.946577551976,-0.0216046607874618,0.0609974024646582,183.671129500638,-0.0025024187934225,0.0718712745293501,58514.1593719824,-0.0023782557760505,0.097866738201622,69401.5641767298,-0.0044582712965564,0.0717859980377426,68888.8566584651,-0.034728243459955,0.0208001371424904,199068.489070064,-0.0214419111969276,-0.0637574553513101,3.54691433720061,-0.0541942856358201,-0.5847391097741105,51.0965598970319,-1.0,-6.0,0.9744676291941748,-0.000741251516775,0.003614907547267,0.178725611980273,-0.0043358786473609,0.013605975554821,0.10137832052513,-0.0025072777720289,0.020543298373294,0.261392523078163,0.012150926045592,0.072898740904226,,,2024-08-14 00:00:00
2012-06-01,2012-06-30,30,national,11,1400,t, National,National,U.S.,US,Single Units Only,-2,182146.478398204,0.0148281035690134,,192527.609857376,0.0080935535652852,,100.790386714908,0.0149512556228033,,105.97819007324,0.005678266307912,,389582.285936289,-0.0009623644950219,,457389.988325719,0.0136075349142219,,496812.11921799695,0.0126883408237001,,1976851.27533177,-0.0350469544378763,,5.09407990079821,-0.2573308432927703,,78.7381335565888,-1.0,,0.9653473572298548,0.0012166730931909,,0.183194861540623,0.000542140706968,,0.0557472713215296,-0.0006654875951809,,0.129986134119113,0.0020958248820099,,,,2024-08-14 00:00:00
2021-07-01,2021-07-31,30,national,11,1400,t, National,National,U.S.,US,Townhouse,13,333935.022004716,0.0162465521468979,0.1770476188838032,331383.346433484,0.0079827377997414,0.1102906408547612,204.981811935202,0.0179194687312194,0.1971252942780874,203.926599594128,0.0050677881832024,0.1272207792369648,60911.499559026,0.0069944378552513,0.0730724138117739,65318.3655691631,-0.0003471645806565,-0.0872047162685728,71018.3817590241,0.0698982645913552,0.0949275590588214,82398.17005061459,0.1144292056151736,-0.1930994725025095,1.37141467863616,0.1162685445668401,-0.4022536812320498,15.9307253113348,-2.0,-22.0,1.01473361663963,-0.0008001912225601,0.0254766292201998,0.477604942811762,0.010870780339232,0.206929146534509,0.0942579276258047,0.0120323816020774,-0.0040417330417807,0.593490753688217,-0.003567805711686,0.127713913612402,,,2024-08-14 00:00:00
2023-11-01,2023-11-30,30,national,11,1400,t, National,National,U.S.,US,Townhouse,13,370067.0674725,-0.0093388595444725,0.0374912473316475,373995.310734748,0.0015722777756148,0.0425497891988313,227.69859921848897,-0.0125602244589355,0.0319969539037412,230.826479838923,0.0024098062695021,0.031114971537431,42520.9740999575,0.005475787336362,-0.022138234031778,46937.166459655295,0.0101638880133709,0.0167181179983102,54156.7061132871,0.0529788400840507,0.0758164779359931,97107.89204721621,0.0436409386112168,-0.0649550546831945,2.29659163888952,0.0713892451090298,-0.10993281560126,32.0949200021073,2.0,-1.0,0.998711706977146,-0.000963370324596,0.0050325081294009,0.3418721395911449,-0.013587986423613,0.0305300988600089,0.1510715514379669,0.015889961898574,-0.008685652519826,0.4593630284831399,-0.019746292398546,0.0298671048548829,,,2024-08-14 00:00:00
2012-04-01,2012-04-30,30,national,11,1400,t, National,National,U.S.,US,Single Family Residential,6,184049.314628066,0.0135897102089843,,196764.692254212,0.0007158425778648,,95.0871674832075,0.0081509085836015,,101.710894729826,-0.0013967098314315,,315894.823804137,0.0026505288260187,,359208.946793463,-0.0290615559424083,,400970.62159315,-0.0437049092248779,,1689858.51907414,-0.0105749981703697,,5.503153967269849,-0.1396062319141,,85.46445175715678,3.0,,0.963244969784529,-2.5547198637010385e-05,,0.185191536415927,-0.0055039712305579,,0.0595215579913263,-0.0054354100625779,,0.123403278791564,0.003152349914304,,,,2024-08-14 00:00:00
2020-09-01,2020-09-30,30,national,11,1400,t, National,National,U.S.,US,Condo/Co-op,3,277381.389991373,0.0182044807851657,0.0934282840363409,295258.85939205,-0.0230762758052794,0.067455727601511,235.12036715551096,0.0128415061589166,0.0792473151129367,259.937079118617,-0.0047334109483215,0.090140489258343,69615.9358306732,0.0384424021510931,0.2300134474353685,81250.1476461677,0.016905493938679,0.2405281641676171,84914.2838206293,-0.0220770247791539,0.2001383628394906,179730.530220513,0.00119126783892,0.0151005066222971,2.7000514073411295,-0.1722410598322099,-0.5569093458606402,37.9567712690964,-3.0,-6.0,0.9847882610349848,0.0027500422486619,0.0053822516484319,0.2374225793542739,0.0261327648853929,0.0559734261715729,0.110580409244022,-0.01066459983206,-0.052619172677463,0.418390258600333,0.01463563654342,0.074630792665096,,,2024-08-14 00:00:00
2021-12-01,2021-12-31,30,national,11,1400,t, National,National,U.S.,US,All Residential,-1,394997.155273198,0.0105172985300414,0.157513081390846,401191.115196066,0.0123599869607136,0.1120384998097441,214.577139120455,0.0069829347122947,0.1714933277735146,221.64154984615,0.0291448185979792,0.1347355973263257,610108.707089194,-0.0388435095466901,-0.0709441611372749,669369.627201094,-0.0552325507639511,-0.0650279858147893,657926.297118403,9.592625791343679e-05,-0.0559105424079689,821314.625427214,-0.0035214213216904,-0.1835722731145899,1.25394939152799,-0.01549425216005,-0.2400660963865799,19.068649723380705,-2.0,-6.0,1.01082227695288,0.0004288728804799,0.011155094917673,0.5132678662429149,0.0189357260969379,0.1127541161104159,0.0986823720937412,0.0137177867936669,-0.0100145624758228,0.624565416805101,0.019923728631887,0.0448885352127009,,,2024-08-14 00:00:00
